"IDEQUIPE","IDATHLETE"
1,17342
1,18294
1,18295
1,17337
1,17321
1,18290
1,18291
1,17340
1,17324
1,17345
1,17339
1,18292
1,102536
1,701501
1,64259
1,701503
1,701504
1,701505
2,23863
2,23862
2,23869
2,23865
2,23867
2,23864
2,23861
2,23871
2,23870
2,23866
2,23868
2,700020
2,700078
2,700836
2,701089
2,701250
3,17344
3,17328
3,17329
3,17341
3,17330
3,17322
3,17331
3,17325
3,17332
3,17333
3,17323
3,18293
3,17326
3,17327
4,17328
4,17330
4,17336
4,17331
4,17325
4,17326
4,17343
4,17327
4,17334
4,17335
4,17338
4,18289
4,701507
4,701508
4,701509
4,701510
5,64257
5,64261
5,64262
5,64265
6,23883
6,23884
6,23885
6,23886
6,23887
6,23888
6,23889
6,23890
6,23891
6,23892
6,23893
6,23894
6,23895
6,23896
6,700162
6,701031
6,701355
7,31532
7,31537
7,31535
7,31553
7,31788
7,31547
7,31551
7,31529
7,31544
7,31773
7,31778
7,31780
7,31531
7,31782
8,44895
8,44899
8,44894
8,44896
9,31535
9,31536
9,31549
9,31785
9,31542
9,31534
9,31779
9,31784
9,31780
9,102533
9,31543
9,31548
9,31531
9,31782
9,31781
10,31541
10,31536
10,31533
10,31542
10,31549
10,31775
10,31784
10,31539
10,31543
10,31531
10,31540
10,31781
10,31547
10,31528
10,31778
11,51972
11,51973
11,51974
11,51975
11,51976
11,51977
11,51978
11,51981
11,51979
11,51980
11,2302474
12,31546
12,31777
12,31530
12,31783
12,31786
12,31787
12,31533
12,31776
12,31538
12,31539
12,31552
12,31772
12,31774
12,31545
12,31527
12,31550
13,83221
13,83227
13,83222
13,64295
14,93932
14,93933
15,106022
15,21035
15,106012
16,107498
16,109570
17,107472
17,107483
18,118001
18,118002
19,112113
19,112108
19,112114
19,112110
19,112112
19,112109
19,114233
19,112107
19,114234
19,112111
19,2302496
19,127236
20,127236
20,125177
20,125180
20,125181
20,125588
20,112111
20,114233
20,112112
20,112114
20,114234
20,127237
20,702014
21,132295
21,132288
21,132286
21,132302
21,132296
21,132289
21,132292
21,132297
21,132290
21,132305
21,132285
21,132298
21,132303
21,132293
21,132291
21,132304
21,132300
21,132299
21,1006230
21,1006233
21,1006232
21,1006231
22,118002
22,132311
23,95621
23,87937
24,62825
24,63872
25,140558
25,140557
26,63395
26,63396
27,63395
27,63396
28,44914
28,44915
28,44908
28,44912
28,922002
29,6990
29,5899
29,5907
29,5965
29,6004
29,6228
29,6567
29,6699
29,7059
29,7163
29,7302
29,7260
30,900902
30,900905
30,900904
30,900903
30,900910
30,900909
30,900901
30,900906
30,900907
30,900908
31,62086
31,62012
32,7301
32,6699
32,7302
32,7260
32,7252
32,5965
32,5899
32,7300
32,6004
32,6990
32,6228
32,5907
33,31796
33,31793
33,31800
33,31791
33,31792
33,31794
33,31801
33,31790
33,31789
33,31799
33,31797
33,31795
33,31798
33,2304750
33,2304752
33,2304753
34,89761
34,6699
34,7302
34,89758
34,7301
34,5965
34,5899
34,89757
34,6004
34,89756
34,89760
34,89759
35,31796
35,31791
35,31801
35,31800
35,91600
35,91604
35,31799
35,91603
35,91602
35,91605
35,31792
35,91601
35,91606
35,2304751
36,89756
36,108460
36,108461
36,5965
36,108462
36,89760
36,108463
36,108464
36,108465
36,89761
36,7302
36,7301
37,91605
37,109556
37,108747
37,91600
37,108746
37,108743
37,91602
37,108742
37,31801
37,108744
37,108745
37,108748
37,31796
37,108749
37,31800
38,89756
38,113539
38,113537
38,108460
38,113536
38,113535
38,108462
38,113538
38,108463
38,113534
38,108465
38,113540
39,112543
39,112533
40,91600
40,111988
40,113716
40,111986
40,111985
