"IDEQUIPE","NOMEQUIPE","NOC"
1,"Afghanistan","AFG"
2,"Afghanistan","AFG"
3,"Afghanistan","AFG"
4,"Afghanistan","AFG"
5,"Afghanistan","AFG"
6,"Algeria","ALG"
7,"Algeria","ALG"
8,"Algeria","ALG"
9,"Algeria","ALG"
10,"Algeria","ALG"
11,"Algeria","ALG"
12,"Algeria","ALG"
13,"Algeria","ALG"
14,"Algeria","ALG"
15,"Algeria","ALG"
16,"Algeria","ALG"
17,"Algeria","ALG"
18,"Algeria","ALG"
19,"Algeria","ALG"
20,"Algeria","ALG"
21,"Algeria","ALG"
22,"Algeria","ALG"
23,"American Samoa","ASA"
24,"American Samoa","ASA"
25,"American Samoa","ASA"
26,"Andorra","AND"
27,"Andorra","AND"
28,"Angola","ANG"
29,"Angola","ANG"
30,"Angola","ANG"
31,"Angola","ANG"
32,"Angola","ANG"
33,"Angola","ANG"
34,"Angola","ANG"
35,"Angola","ANG"
36,"Angola","ANG"
37,"Angola","ANG"
38,"Angola","ANG"
39,"Angola","ANG"
40,"Angola","ANG"
41,"Angola","ANG"
42,"Angola","ANG"
43,"Angola","ANG"
44,"Angola","ANG"
45,"Angola","ANG"
46,"Angola","ANG"
47,"Angola","ANG"
48,"Angola","ANG"
49,"Antigua and Barbuda","ANT"
50,"Antigua and Barbuda","ANT"
51,"Antigua and Barbuda","ANT"
52,"Antigua and Barbuda","ANT"
53,"Antigua and Barbuda","ANT"
54,"Antigua and Barbuda","ANT"
55,"Antigua and Barbuda","ANT"
56,"Antigua and Barbuda","ANT"
57,"Antigua and Barbuda","ANT"
58,"Antigua and Barbuda","ANT"
59,"Antigua and Barbuda","ANT"
60,"Antigua and Barbuda","ANT"
61,"Antigua and Barbuda","ANT"
62,"Mixed team 13","ARG"
63,"Argentina","ARG"
64,"Argentina","ARG"
65,"Argentina","ARG"
66,"Argentina","ARG"
67,"Argentina","ARG"
68,"Argentina","ARG"
69,"Argentina","ARG"
70,"Argentina","ARG"
71,"Blue Red","ARG"
72,"Argentina","ARG"
73,"Argentina 1","ARG"
74,"Argentina 2","ARG"
75,"Argentina","ARG"
76,"Argentina","ARG"
77,"Argentina","ARG"
78,"Argentina","ARG"
79,"Argentina","ARG"
80,"Argentina","ARG"
81,"Argentina","ARG"
82,"Argentina","ARG"
83,"Cupidon III","ARG"
84,"Argentina","ARG"
85,"Argentina","ARG"
86,"Argentina 1","ARG"
87,"Argentina 2","ARG"
88,"Argentina","ARG"
89,"Argentina","ARG"
90,"Argentina","ARG"
91,"Argentina","ARG"
92,"Argentina","ARG"
93,"Argentina","ARG"
94,"Argentina","ARG"
95,"Argentina","ARG"
96,"Wiking","ARG"
97,"Matrero II","ARG"
98,"Argentina","ARG"
99,"Argentina","ARG"
100,"Argentina","ARG"
101,"Argentina","ARG"
102,"Argentina","ARG"
103,"Argentina","ARG"
104,"Argentina","ARG"
105,"Argentina","ARG"
106,"Argentina","ARG"
107,"Argentina","ARG"
108,"Argentina","ARG"
109,"Argentina","ARG"
110,"Argentina","ARG"
111,"Argentina","ARG"
112,"Argentina","ARG"
113,"Argentina","ARG"
114,"Argentina","ARG"
115,"Argentina","ARG"
116,"Argentina","ARG"
117,"Argentina","ARG"
118,"Antares","ARG"
119,"Acturus","ARG"
120,"Pampero","ARG"
121,"Djinn","ARG"
122,"Argentina","ARG"
123,"Argentina","ARG"
124,"Argentina","ARG"
125,"Argentina","ARG"
126,"Argentina","ARG"
127,"Argentina","ARG"
128,"Argentina","ARG"
129,"Argentina","ARG"
130,"Argentina","ARG"
131,"Argentina","ARG"
132,"Argentina","ARG"
133,"Argentina","ARG"
134,"Argentina","ARG"
135,"Argentina","ARG"
136,"Argentina","ARG"
137,"Argentina","ARG"
138,"Argentina","ARG"
139,"Argentina","ARG"
140,"Arcturus","ARG"
141,"Pampero","ARG"
142,"Gullvinge","ARG"
143,"Djinn","ARG"
144,"Argentina","ARG"
145,"Argentina","ARG"
146,"Argentina","ARG"
147,"Covunco III","ARG"
148,"Pampero","ARG"
149,"Argentina","ARG"
150,"Argentina","ARG"
151,"Argentina","ARG"
152,"Argentina","ARG"
153,"Argentina","ARG"
154,"Argentina","ARG"
155,"Argentina","ARG"
156,"Argentina","ARG"
157,"Argentina","ARG"
158,"Argentina","ARG"
159,"Argentina","ARG"
160,"Argentina","ARG"
161,"Mizar","ARG"
162,"Tango","ARG"
163,"Ardilla","ARG"
164,"Argentina","ARG"
165,"Argentina","ARG"
166,"Argentina","ARG"
167,"Argentina","ARG"
168,"Argentina","ARG"
169,"Argentina","ARG"
170,"Argentina","ARG"
171,"Argentina","ARG"
172,"Argentina","ARG"
173,"Argentina","ARG"
174,"Argentina","ARG"
175,"Argentina","ARG"
176,"Argentina","ARG"
177,"Argentina","ARG"
178,"Rampage","ARG"
179,"Tango","ARG"
180,"Argentina","ARG"
181,"Argentina 1","ARG"
182,"Argentina 2","ARG"
183,"Argentina","ARG"
184,"Argentina","ARG"
185,"Argentina","ARG"
186,"Argentina","ARG"
187,"Argentina","ARG"
188,"Argentina","ARG"
189,"Argentina","ARG"
190,"Argentina","ARG"
191,"Argentina","ARG"
192,"Argentina","ARG"
193,"Argentina","ARG"
194,"Argentina","ARG"
195,"Argentina","ARG"
196,"Argentina","ARG"
197,"Argentina","ARG"
198,"Argentina","ARG"
199,"Argentina","ARG"
200,"Argentina","ARG"
201,"Argentina","ARG"
202,"Argentina","ARG"
203,"Argentina","ARG"
204,"Argentina","ARG"
205,"-","ARG"
206,"Argentina","ARG"
207,"Argentina","ARG"
208,"Argentina","ARG"
209,"Argentina","ARG"
210,"Argentina","ARG"
211,"Argentina","ARG"
212,"Argentina","ARG"
213,"Argentina","ARG"
214,"Argentina","ARG"
215,"Argentina","ARG"
216,"Argentina","ARG"
217,"Argentina","ARG"
218,"Argentina","ARG"
219,"Argentina","ARG"
220,"Argentina","ARG"
221,"Argentina","ARG"
222,"Argentina","ARG"
223,"Argentina","ARG"
224,"Argentina","ARG"
225,"Argentina","ARG"
226,"Argentina","ARG"
227,"Argentina","ARG"
228,"Argentina","ARG"
229,"Argentina","ARG"
230,"Argentina","ARG"
231,"Argentina","ARG"
232,"Argentina","ARG"
233,"Argentina","ARG"
234,"Argentina","ARG"
235,"Argentina","ARG"
236,"Argentina","ARG"
237,"Argentina","ARG"
238,"Argentina","ARG"
239,"Argentina","ARG"
240,"Argentina","ARG"
241,"Argentina","ARG"
242,"Argentina","ARG"
243,"Argentina","ARG"
244,"Argentina","ARG"
245,"Argentina","ARG"
246,"Argentina","ARG"
247,"Argentina","ARG"
248,"Argentina","ARG"
249,"Argentina","ARG"
250,"Argentina","ARG"
251,"Argentina","ARG"
252,"Argentina","ARG"
253,"Argentina","ARG"
254,"Argentina","ARG"
255,"Argentina","ARG"
256,"Argentina","ARG"
257,"Argentina","ARG"
258,"Argentina","ARG"
259,"Argentina","ARG"
260,"Argentina","ARG"
261,"Argentina","ARG"
262,"Argentina","ARG"
263,"Argentina","ARG"
264,"Argentina","ARG"
265,"Argentina","ARG"
266,"Argentina","ARG"
267,"Argentina","ARG"
268,"Argentina","ARG"
269,"Argentina","ARG"
270,"Argentina","ARG"
271,"Argentina","ARG"
272,"Argentina","ARG"
273,"Argentina","ARG"
274,"Argentina","ARG"
275,"Argentina","ARG"
276,"Argentina","ARG"
277,"Argentina","ARG"
278,"Argentina","ARG"
279,"Argentina","ARG"
280,"Argentina","ARG"
281,"Argentina","ARG"
282,"Argentina","ARG"
283,"Argentina","ARG"
284,"Argentina","ARG"
285,"Argentina","ARG"
286,"Argentina","ARG"
287,"Argentina","ARG"
288,"Argentina","ARG"
289,"Argentina","ARG"
290,"Argentina","ARG"
291,"Argentina","ARG"
292,"Argentina","ARG"
293,"Argentina","ARG"
294,"Argentina","ARG"
295,"Argentina","ARG"
296,"Argentina","ARG"
297,"Argentina 1","ARG"
298,"Argentina 2","ARG"
299,"Argentina","ARG"
300,"Argentina","ARG"
301,"Argentina","ARG"
302,"Argentina","ARG"
303,"Argentina","ARG"
304,"Argentina","ARG"
305,"Argentina","ARG"
306,"Argentina","ARG"
307,"Argentina","ARG"
308,"Argentina","ARG"
309,"Argentina","ARG"
310,"Argentina","ARG"
311,"Argentina","ARG"
312,"Argentina","ARG"
313,"Argentina","ARG"
314,"Argentina","ARG"
315,"Argentina","ARG"
316,"Argentina","ARG"
317,"Argentina","ARG"
318,"Argentina","ARG"
319,"Argentina","ARG"
320,"Argentina","ARG"
321,"Argentina","ARG"
322,"Argentina","ARG"
323,"Argentina","ARG"
324,"Argentina","ARG"
325,"Argentina","ARG"
326,"Argentina","ARG"
327,"Argentina","ARG"
328,"Argentina","ARG"
329,"Argentina 1","ARG"
330,"Argentina 2","ARG"
331,"Argentina","ARG"
332,"Argentina","ARG"
333,"Argentina","ARG"
334,"Argentina","ARG"
335,"Argentina","ARG"
336,"Argentina","ARG"
337,"Argentina","ARG"
338,"Argentina","ARG"
339,"Argentina","ARG"
340,"Argentina","ARG"
341,"Argentina","ARG"
342,"Argentina 1","ARG"
343,"Argentina 2","ARG"
344,"Argentina","ARG"
345,"Argentina","ARG"
346,"Argentina","ARG"
347,"Argentina","ARG"
348,"Argentina","ARG"
349,"Argentina","ARG"
350,"Argentina","ARG"
351,"Argentina","ARG"
352,"Argentina","ARG"
353,"Argentina","ARG"
354,"Argentina","ARG"
355,"Argentina","ARG"
356,"Argentina","ARG"
357,"Argentina","ARG"
358,"Argentina","ARG"
359,"Argentina","ARG"
360,"Argentina","ARG"
361,"Argentina","ARG"
362,"Argentina","ARG"
363,"Argentina","ARG"
364,"Argentina","ARG"
365,"Argentina","ARG"
366,"Argentina","ARG"
367,"Argentina","ARG"
368,"Argentina","ARG"
369,"Argentina","ARG"
370,"Argentina","ARG"
371,"Argentina","ARG"
372,"Argentina","ARG"
373,"Argentina","ARG"
374,"Argentina","ARG"
375,"Argentina","ARG"
376,"Argentina","ARG"
377,"Argentina","ARG"
378,"Argentina 1","ARG"
379,"Argentina 2","ARG"
380,"Argentina","ARG"
381,"Argentina","ARG"
382,"Argentina","ARG"
383,"Argentina","ARG"
384,"Argentina","ARG"
385,"Argentina","ARG"
386,"Argentina","ARG"
387,"Argentina","ARG"
388,"Argentina","ARG"
389,"Argentina","ARG"
390,"Argentina","ARG"
391,"Argentina","ARG"
392,"Argentina","ARG"
393,"Argentina","ARG"
394,"Argentina","ARG"
395,"Argentina","ARG"
396,"Argentina 1","ARG"
397,"Argentina 2","ARG"
398,"Argentina","ARG"
399,"Argentina","ARG"
400,"Argentina","ARG"
401,"Armenia","ARM"
402,"Armenia","ARM"
403,"Armenia","ARM"
404,"Armenia","ARM"
405,"Armenia","ARM"
406,"Armenia","ARM"
407,"Armenia","ARM"
408,"Armenia","ARM"
409,"Aruba","ARU"
410,"Aruba","ARU"
411,"Australasia","ANZ"
412,"Australasia","ANZ"
413,"Sydney Rowing Club","ANZ"
414,"Australasia","ANZ"
415,"Mixed team 1","GBR"
416,"West","USA"
417,"Australia","AUS"
418,"Australia","AUS"
419,"Australia","AUS"
420,"Australia","AUS"
421,"Australia","AUS"
422,"Australia","AUS"
423,"Mixed team","NEP"
424,"Australia","AUS"
425,"Australia","AUS"
426,"Australia","AUS"
427,"Australia","AUS"
428,"Australia","AUS"
429,"Australia","AUS"
430,"Australia","AUS"
431,"Australia","AUS"
432,"Australia","AUS"
433,"Moorina","AUS"
434,"Australia","AUS"
435,"Australia","AUS"
436,"Australia","AUS"
437,"Australia","AUS"
438,"Australia","AUS"
439,"Australia","AUS"
440,"Australia","AUS"
441,"Australia","AUS"
442,"Australia","AUS"
443,"Australia","AUS"
444,"Australia","AUS"
445,"Australia","AUS"
446,"Australia","AUS"
447,"Australia","AUS"
448,"Hornet","AUS"
449,"Vinha","AUS"
450,"Australia","AUS"
451,"Australia","AUS"
452,"Australia","AUS"
453,"Australia","AUS"
454,"Australia","AUS"
455,"Australia","AUS"
456,"Victorian Amateur Football Association","AUS"
457,"Victorian Football League/Victorian Football Association","AUS"
458,"Australia","AUS"
459,"Australia","AUS"
460,"Australia","AUS"
461,"Australia","AUS"
462,"Australia","AUS"
463,"Australia","AUS"
464,"Australia","AUS"
465,"Australia","AUS"
466,"Australia","AUS"
467,"Australia","AUS"
468,"Australia","AUS"
469,"Australia","AUS"
470,"Australia","AUS"
471,"Australia","AUS"
472,"Australia","AUS"
473,"Australia","AUS"
474,"Australia","AUS"
475,"Australia","AUS"
476,"Australia","AUS"
477,"Australia","AUS"
478,"Australia","AUS"
479,"Naiad","AUS"
480,"Paula","AUS"
481,"Falcon IV","AUS"
482,"Buraddoo","AUS"
483,"Australia","AUS"
484,"Australia","AUS"
485,"Australia","AUS"
486,"Australia","AUS"
487,"Australia","AUS"
488,"Australia","AUS"
489,"Australia","AUS"
490,"Australia","AUS"
491,"Australia","AUS"
492,"Australia","AUS"
493,"Australia","AUS"
494,"Australia","AUS"
495,"Australia","AUS"
496,"Australia","AUS"
497,"Australia","AUS"
498,"Australia","AUS"
499,"Australia","AUS"
500,"Australia","AUS"
501,"Australia","AUS"
502,"Australia","AUS"
503,"Australia","AUS"
504,"Australia","AUS"
505,"Australia","AUS"
506,"Australia","AUS"
507,"Australia","AUS"
508,"Pakaria","AUS"
509,"Gabbiano","AUS"
510,"Falcon VI","AUS"
511,"Buraddoo","AUS"
512,"Australia","AUS"
513,"Australia","AUS"
514,"Australia","AUS"
515,"Australia","AUS"
516,"Australia","AUS"
517,"Australia","AUS"
518,"Australia","AUS"
519,"Australia","AUS"
520,"Australia","AUS"
521,"Australia","AUS"
522,"Australia","AUS"
523,"Australia","AUS"
524,"Australia","AUS"
525,"Australia","AUS"
526,"Australia","AUS"
527,"Australia","AUS"
528,"Australia","AUS"
529,"Australia","AUS"
530,"Australia","AUS"
531,"Australia","AUS"
532,"Australia","AUS"
533,"Australia","AUS"
534,"Australia","AUS"
535,"Australia","AUS"
536,"Australia","AUS"
537,"Australia","AUS"
538,"Australia","AUS"
539,"Australia","AUS"
540,"Australia","AUS"
541,"Australia","AUS"
542,"Australia","AUS"
543,"Australia","AUS"
544,"Australia","AUS"
545,"Maryke","AUS"
546,"Cambria","AUS"
547,"Diablo","AUS"
548,"Barrenjoey","AUS"
549,"Australia","AUS"
550,"Australia","AUS"
551,"Australia","AUS"
552,"Australia","AUS"
553,"Australia","AUS"
554,"Australia","AUS"
