IDEVENEMENT,NOMEVENEMENT,STATUTEVENEMENT,CODEDISCIPLINE,IDHOTE
23737,"Featherweight, Men",Olympic,BOX,17
23859,"Welterweight, Men",Olympic,BOX,17
61071,"800 metres, Men",Olympic,ATH,18
61086,"1,500 metres, Men",Olympic,ATH,18
61100,"5,000 metres, Men",Olympic,ATH,18
61137,"3,000 metres Steeplechase, Men",Olympic,ATH,18
24299,"Light-Middleweight, Men",Olympic,BOX,18
62220,"800 metres, Men",Olympic,ATH,20
62233,"1,500 metres, Men",Olympic,ATH,20
62243,"5,000 metres, Men",Olympic,ATH,20
62252,"10,000 metres, Men",Olympic,ATH,20
62258,"Marathon, Men",Olympic,ATH,20
62277,"3,000 metres Steeplechase, Men",Olympic,ATH,20
62299,"High Jump, Men",Olympic,ATH,20
62505,"800 metres, Women",Olympic,ATH,20
24827,"Light-Flyweight, Men",Olympic,BOX,20
24996,"Light-Welterweight, Men",Olympic,BOX,20
25117,"Light-Heavyweight, Men",Olympic,BOX,20
103487,"Foil, Individual, Men",Olympic,FEN,20
33934,"Football, Men",Olympic,FBL,20
34626,"Handball, Men",Olympic,HBL,20
15731,"Extra-Lightweight, Men",Olympic,JUD,20
15827,"Lightweight, Men",Olympic,JUD,20
15875,"Half-Middleweight, Men",Olympic,JUD,20
6745,"100 metres Freestyle, Men",Olympic,SWM,20
6756,"200 metres Freestyle, Men",Olympic,SWM,20
6765,"400 metres Freestyle, Men",Olympic,SWM,20
6773,"1,500 metres Freestyle, Men",Olympic,SWM,20
6835,"4 × 200 metres Freestyle Relay, Men",Olympic,SWM,20
6797,"100 metres Breaststroke, Men",Olympic,SWM,20
6804,"200 metres Breaststroke, Men",Olympic,SWM,20
6810,"100 metres Butterfly, Men",Olympic,SWM,20
6821,"200 metres Butterfly, Men",Olympic,SWM,20
29713,"Bantamweight, Men",Olympic,WLF,20
29722,"Featherweight, Men",Olympic,WLF,20
29769,"Heavyweight I, Men",Olympic,WLF,20
62648,"200 metres, Men",Olympic,ATH,21
62690,"800 metres, Men",Olympic,ATH,21
62710,"1,500 metres, Men",Olympic,ATH,21
62722,"5,000 metres, Men",Olympic,ATH,21
62739,"110 metres Hurdles, Men",Olympic,ATH,21
62770,"20 kilometres Race Walk, Men",Olympic,ATH,21
62771,"50 kilometres Race Walk, Men",Olympic,ATH,21
25352,"Light-Welterweight, Men",Olympic,BOX,21
25395,"Welterweight, Men",Olympic,BOX,21
25478,"Middleweight, Men",Olympic,BOX,21
25510,"Light-Heavyweight, Men",Olympic,BOX,21
25539,"Heavyweight, Men",Olympic,BOX,21
34684,"Handball, Men",Olympic,HBL,21
29807,"Bantamweight, Men",Olympic,WLF,21
29816,"Featherweight, Men",Olympic,WLF,21
63287,"200 metres, Men",Olympic,ATH,22
63330,"800 metres, Men",Olympic,ATH,22
63350,"1,500 metres, Men",Olympic,ATH,22
63374,"Marathon, Men",Olympic,ATH,22
63375,"110 metres Hurdles, Men",Olympic,ATH,22
63403,"3,000 metres Steeplechase, Men",Olympic,ATH,22
63412,"20 kilometres Race Walk, Men",Olympic,ATH,22
63556,"Hammer Throw, Men",Olympic,ATH,22
63738,"800 metres, Women",Olympic,ATH,22
63748,"1,500 metres, Women",Olympic,ATH,22
63901,"Heptathlon, Women",Olympic,ATH,22
25579,"Light-Flyweight, Men",Olympic,BOX,22
25620,"Flyweight, Men",Olympic,BOX,22
25929,"Light-Middleweight, Men",Olympic,BOX,22
25972,"Middleweight, Men",Olympic,BOX,22
154647,"Road Race, Individual, Men",Olympic,CRD,22
34742,"Handball, Men",Olympic,HBL,22
16446,"Extra-Lightweight, Men",Olympic,JUD,22
16505,"Half-Lightweight, Men",Olympic,JUD,22
16571,"Lightweight, Men",Olympic,JUD,22
16697,"Middleweight, Men",Olympic,JUD,22
16794,"Heavyweight, Men",Olympic,JUD,22
900533,"Middleweight, Women",Olympic (non-medal),JUD,22
45142,"Singles, Women",Olympic,TEN,22
29897,"Bantamweight, Men",Olympic,WLF,22
29960,"Heavyweight II, Men",Olympic,WLF,22
64016,"800 metres, Men",Olympic,ATH,23
64031,"1,500 metres, Men",Olympic,ATH,23
64041,"5,000 metres, Men",Olympic,ATH,23
64109,"High Jump, Men",Olympic,ATH,23
64170,"Long Jump, Men",Olympic,ATH,23
64187,"Triple Jump, Men",Olympic,ATH,23
64419,"1,500 metres, Women",Olympic,ATH,23
64440,"100 metres Hurdles, Women",Olympic,ATH,23
26089,"Light-Flyweight, Men",Olympic,BOX,23
26126,"Flyweight, Men",Olympic,BOX,23
26163,"Bantamweight, Men",Olympic,BOX,23
26200,"Featherweight, Men",Olympic,BOX,23
26274,"Light-Welterweight, Men",Olympic,BOX,23
26422,"Light-Heavyweight, Men",Olympic,BOX,23
16912,"Half-Lightweight, Men",Olympic,JUD,23
16988,"Lightweight, Men",Olympic,JUD,23
17307,"Extra-Lightweight, Women",Olympic,JUD,23
7704,"200 metres Breaststroke, Men",Olympic,SWM,23
37481,"Volleyball, Men",Olympic,VVO,23
29996,"Featherweight, Men",Olympic,WLF,23
131583,"Lightweight, Greco-Roman, Men",Olympic,WRE,23
131644,"Welterweight, Greco-Roman, Men",Olympic,WRE,23
1383,"Super G, Men",Olympic,ALP,44
1384,"Giant Slalom, Men",Olympic,ALP,44
1387,"Slalom, Men",Olympic,ALP,44
1396,"Super G, Women",Olympic,ALP,44
1397,"Giant Slalom, Women",Olympic,ALP,44
64676,"400 metres, Men",Olympic,ATH,24
64695,"800 metres, Men",Olympic,ATH,24
64710,"1,500 metres, Men",Olympic,ATH,24
65083,"800 metres, Women",Olympic,ATH,24
65094,"1,500 metres, Women",Olympic,ATH,24
26570,"Flyweight, Men",Olympic,BOX,24
26607,"Bantamweight, Men",Olympic,BOX,24
26644,"Featherweight, Men",Olympic,BOX,24
26681,"Lightweight, Men",Olympic,BOX,24
26718,"Light-Welterweight, Men",Olympic,BOX,24
26829,"Middleweight, Men",Olympic,BOX,24
114759,"Sabre, Individual, Men",Olympic,FEN,24
115354,"Foil, Individual, Women",Olympic,FEN,24
34877,"Handball, Men",Olympic,HBL,24
17640,"Extra-Lightweight, Men",Olympic,JUD,24
17763,"Lightweight, Men",Olympic,JUD,24
17825,"Half-Middleweight, Men",Olympic,JUD,24
18008,"Heavyweight, Men",Olympic,JUD,24
18069,"Extra-Lightweight, Women",Olympic,JUD,24
18115,"Half-Lightweight, Women",Olympic,JUD,24
159471,"Single Sculls, Women",Olympic,ROW,24
7969,"50 metres Freestyle, Men",Olympic,SWM,24
7983,"100 metres Freestyle, Men",Olympic,SWM,24
7995,"200 metres Freestyle, Men",Olympic,SWM,24
8063,"100 metres Butterfly, Men",Olympic,SWM,24
30086,"Featherweight, Men",Olympic,WLF,24
30095,"Lightweight, Men",Olympic,WLF,24
132724,"Welterweight, Greco-Roman, Men",Olympic,WRE,24
131962,"Flyweight, Freestyle, Men",Olympic,WRE,24
65353,"400 metres, Men",Olympic,ATH,25
65373,"800 metres, Men",Olympic,ATH,25
65388,"1,500 metres, Men",Olympic,ATH,25
65397,"5,000 metres, Men",Olympic,ATH,25
65402,"10,000 metres, Men",Olympic,ATH,25
65407,"Marathon, Men",Olympic,ATH,25
65440,"3,000 metres Steeplechase, Men",Olympic,ATH,25
65459,"4 × 400 metres Relay, Men",Olympic,ATH,25
65470,"High Jump, Men",Olympic,ATH,25
65752,"1,500 metres, Women",Olympic,ATH,25
65767,"10,000 metres, Women",Olympic,ATH,25
65799,"20 kilometres Race Walk, Women",Olympic,ATH,25
26977,"Light-Flyweight, Men",Olympic,BOX,25
27085,"Featherweight, Men",Olympic,BOX,25
27157,"Light-Welterweight, Men",Olympic,BOX,25
27265,"Middleweight, Men",Olympic,BOX,25
27337,"Heavyweight, Men",Olympic,BOX,25
116488,"Foil, Individual, Women",Olympic,FEN,25
116558,"Épée, Individual, Women",Olympic,FEN,25
18380,"Extra-Lightweight, Men",Olympic,JUD,25
18441,"Half-Lightweight, Men",Olympic,JUD,25
18504,"Lightweight, Men",Olympic,JUD,25
18631,"Middleweight, Men",Olympic,JUD,25
18688,"Half-Heavyweight, Men",Olympic,JUD,25
18747,"Heavyweight, Men",Olympic,JUD,25
18850,"Half-Lightweight, Women",Olympic,JUD,25
159542,"Single Sculls, Men",Olympic,ROW,25
159648,"Single Sculls, Women",Olympic,ROW,25
8336,"50 metres Freestyle, Men",Olympic,SWM,25
8352,"100 metres Freestyle, Men",Olympic,SWM,25
8399,"100 metres Backstroke, Men",Olympic,SWM,25
8452,"100 metres Butterfly, Men",Olympic,SWM,25
8652,"100 metres Butterfly, Women",Olympic,SWM,25
48121,"Doubles, Men",Olympic,TTE,25
55000,"Individual, Men",Olympic,GTR,25
30251,"Lightweight, Women",Olympic,WLF,25
133420,"Lightweight, Greco-Roman, Men",Olympic,WRE,25
66031,"200 metres, Men",Olympic,ATH,26
66049,"400 metres, Men",Olympic,ATH,26
65048,"200 metres, Women",Olympic,ATH,24
65065,"400 metres, Women",Olympic,ATH,24
32810,"Basketball, Men",Olympic,BKB,24
34921,"Handball, Women",Olympic,HBL,24
8225,"100 metres Breaststroke, Women",Olympic,SWM,24
8235,"200 metres Breaststroke, Women",Olympic,SWM,24
32920,"Basketball, Men",Olympic,BKB,25
34997,"Handball, Women",Olympic,HBL,25
8629,"100 metres Breaststroke, Women",Olympic,SWM,25
33018,"Basketball, Men",Olympic,BKB,26
35090,"Handball, Women",Olympic,HBL,26
257904,"Basketball, Men",Olympic,BKB,53
258609,"Beach Volleyball, Men",Olympic,VBV,53
258784,"Canadian Singles, 500 metres, Men",Olympic,CSP,53
258793,"Canadian Singles, 1,000 metres, Men",Olympic,CSP,53
260050,"Handball, Women",Olympic,HBL,53
261586,"100 metres Butterfly, Men",Olympic,SWM,53
302378,"800 metres, Women",Olympic,ATH,54
303046,"Basketball, Women",Olympic,BKB,54
307094,"Canadian Singles, 200 metres, Men",Olympic,CSP,54
307026,"Canadian Singles, 1,000 metres, Men",Olympic,CSP,54
307107,"Canadian Doubles, 1,000 metres, Men",Olympic,CSP,54
314051,"Handball, Women",Olympic,HBL,54
