"IDEVENEMENT","IDEQUIPE","RESULTAT","MEDAILLE"
35547,1,"=5",""
33663,2,"=17",""
35579,3,"=7",""
35641,4,"=11",""
59753,5,"4 h4 r1/3",""
33934,6,"=5",""
34626,7,"10",""
6835,8,"12",""
34684,9,"12",""
34742,10,"10",""
37481,11,"12",""
34877,12,"10",""
65459,13,"AC h2 r1/3",""
48121,14,"=33",""
117278,15,"9",""
48441,16,"=25",""
48552,17,"=33",""
261043,18,"20",""
262873,19,"=11",""
329046,20,"=11",""
359500,21,"14",""
19008486,22,"17",""
417,23,"39",""
10589,24,"24",""
19008746,25,"18",""
10320,26,"27",""
10488,27,"27",""
6849,28,"11",""
32728,29,"10",""
900966,30,"=9",""
10320,31,"37",""
32810,32,"11",""
34921,33,"7",""
32920,34,"12",""
34997,35,"9",""
33018,36,"12",""
35090,37,"9",""
257904,38,"12",""
258609,39,"=19",""
260050,40,"12",""
303046,41,"12",""
307107,42,"12",""
314051,43,"10",""
395646,44,"8",""
354013,45,"20",""
356106,46,"26",""
19001517,47,"10",""
19008746,48,"19",""
61724,49,"7 h1 r1/3",""
61733,50,"8 h2 r1/2",""
62772,51,"6 h2 r2/3",""
62781,52,"5 h2 r1/3",""
63123,53,"4 h2 r1/2",""
63414,54,"6 h3 r1/3",""
63424,55,"6 h2 r1/3",""
10378,56,"24",""
64790,57,"6 h2 r1/3",""
65143,58,"AC h1 r1/2",""
65149,59,"6 h1 r1/2",""
256152,60,"9 h1 r1/3",""
358672,61,"6 h1 r1/2",""
925212,62,"2 h1 r1/3",""
57447,63,"3 h4 r1/3",""
57460,64,"DNS",""
153362,65,"9",""
75460,66,"3 p2 r3/4",""
75902,67,"3 p2 r1/4",""
76478,68,"3 p1 r3/4",""
30923,69,"1","Gold"
157710,70,"2 h1 r2/3",""
9327,71,"5",""
4785,72,"4 h3 r1/3",""
44847,73,"=9",""
44847,74,"=16",""
57741,75,"DNS",""
153421,76,"8",""
185081,77,"12",""
78332,78,"3","Bronze"
33615,79,"2","Silver"
157779,80,"DNS",""
157797,81,"DNS",""
157854,82,"2 h1 r4/7",""
9359,83,"8",""
4887,84,"4 h1 r1/2",""
38095,85,"=9",""
236,86,"4",""
236,87,"5",""
58016,88,"DNS",""
81179,89,"=5",""
4988,90,"6",""
58263,91,"4",""
83372,92,"=7",""
84035,93,"3 p3 r2/4",""
30936,94,"1","Gold"
157949,95,"3","Bronze"
9446,96,"4",""
9459,97,"7",""
70136,98,"15",""
58615,99,"3 h3 r1/2",""
58621,100,"3 h3 r1/2",""
31863,101,"15",""
153627,102,"7",""
153584,103,"10",""
153605,104,"2 h3 r2/5",""
185132,105,"4",""
185123,106,"DNF",""
185134,107,"DNF",""
86018,108,"=5",""
86162,109,"3 p3 r2/4",""
86321,110,"=5",""
35579,111,"=5",""
158011,112,"3 h1 r2/4",""
158026,113,"3 h2 r2/4",""
158041,114,"2 h2 r3/4",""
158055,115,"2 h1 r2/4",""
158069,116,"2 h4 r2/5",""
158096,117,"2 h1 r2/4",""
9499,118,"14",""
9486,119,"16",""
9512,120,"7",""
9525,121,"2","Silver"
5192,122,"6",""
5236,123,"5 h1 r1/2",""
38179,124,"=9",""
267,125,"15",""
274,126,"12",""
58981,127,"4 h1 r2/3",""
59185,128,"3 h1 r1/2",""
31969,129,"4",""
153684,130,"9 r1/4",""
185140,131,"DNF",""
185150,132,"7",""
86573,133,"=5",""
86618,134,"DNS",""
